job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
ai00001,ai research scientist,90376,usd,se,ct,china,m,china,50,"tableau, pytorch, kubernetes, linux, nlp",bachelor,9,automotive,2024-10-18,2024-11-07,1076,5.9,smart analytics
ai00002,ai software engineer,61895,usd,en,ct,canada,m,ireland,100,"deep learning, aws, mathematics, python, docker",master,1,media,2024-11-20,2025-01-11,1268,5.2,techcorp inc
ai00003,ai specialist,152626,usd,mi,fl,switzerland,l,south korea,0,"kubernetes, deep learning, java, hadoop, nlp",associate,2,education,2025-03-18,2025-04-07,1974,9.4,autonomous tech
ai00004,nlp engineer,80215,usd,se,fl,india,m,india,50,"scala, sql, linux, python",phd,7,consulting,2024-12-23,2025-02-24,1345,8.6,future systems
ai00005,ai consultant,54624,eur,en,pt,france,s,singapore,100,"mlops, java, tableau, python",master,0,media,2025-04-15,2025-06-23,1989,6.6,advanced robotics
ai00006,ai architect,123574,eur,se,ct,germany,m,germany,50,"data visualization, r, sql, linux",associate,7,healthcare,2024-08-31,2024-10-04,819,5.9,neural networks co
ai00007,principal data scientist,79670,gbp,mi,fl,united kingdom,s,united kingdom,0,"r, docker, mlops",associate,3,gaming,2024-12-29,2025-02-28,1936,6.3,datavision ltd
ai00008,nlp engineer,70640,eur,en,fl,france,l,france,0,"python, sql, computer vision, java, azure",master,0,healthcare,2024-06-07,2024-07-01,1286,7.6,cloud ai solutions
ai00009,data analyst,160710,usd,se,ct,singapore,l,singapore,0,"hadoop, git, mathematics, python",phd,7,government,2024-11-04,2024-11-24,551,9.3,quantum computing inc
ai00010,ai software engineer,102557,usd,se,pt,austria,m,austria,0,"mlops, gcp, scala, azure, linux",master,5,government,2024-10-20,2024-11-06,2340,5.8,cloud ai solutions
ai00011,autonomous systems engineer,102322,usd,se,pt,sweden,m,sweden,100,"mlops, python, sql",associate,8,telecommunications,2025-01-29,2025-03-05,1047,9.9,smart analytics
ai00012,ai architect,115047,usd,ex,ct,south korea,s,south korea,0,"r, data visualization, python, azure",master,15,manufacturing,2024-07-16,2024-08-19,513,6.8,techcorp inc
ai00013,ai consultant,124355,eur,se,ct,france,m,france,100,"tableau, python, tensorflow",phd,5,automotive,2024-12-29,2025-01-27,760,5.2,predictive systems
ai00014,autonomous systems engineer,68760,usd,en,ct,norway,s,norway,0,"scala, sql, statistics",master,0,energy,2024-02-11,2024-02-25,1657,9.1,cloud ai solutions
ai00015,ai research scientist,150122,usd,se,ft,sweden,m,sweden,100,"pytorch, python, data visualization, gcp",associate,6,technology,2024-10-02,2024-11-26,1466,9.8,advanced robotics
ai00016,ai product manager,78846,gbp,en,pt,united kingdom,l,israel,0,"linux, statistics, deep learning",phd,0,consulting,2024-09-28,2024-10-26,2059,9.6,datavision ltd
ai00017,principal data scientist,59823,usd,en,ft,india,l,india,100,"tableau, nlp, spark",bachelor,1,real estate,2025-02-06,2025-03-26,1200,5.8,predictive systems
ai00018,machine learning engineer,181139,eur,ex,ct,france,l,france,100,"mlops, pytorch, azure",associate,15,real estate,2024-04-24,2024-06-03,2142,8.7,ai innovations
ai00019,data engineer,155300,usd,se,ct,singapore,m,singapore,0,"git, hadoop, r, python, spark",associate,9,finance,2024-04-30,2024-05-29,589,8.6,algorithmic solutions
ai00020,research scientist,93851,eur,mi,pt,netherlands,l,germany,100,"java, scala, nlp, docker, computer vision",phd,4,transportation,2024-05-01,2024-07-02,1809,6.7,ai innovations
ai00021,data engineer,134197,usd,mi,ft,norway,m,france,0,"deep learning, aws, azure",bachelor,3,telecommunications,2024-06-21,2024-08-28,969,9.6,ai innovations
ai00022,autonomous systems engineer,102550,usd,mi,pt,united states,m,united states,0,"tableau, spark, nlp, tensorflow, pytorch",bachelor,2,automotive,2024-04-23,2024-06-23,625,10.0,cognitive computing
ai00023,ml ops engineer,99382,eur,se,ct,germany,s,germany,0,"hadoop, git, tableau",phd,7,automotive,2025-03-13,2025-05-11,1629,6.9,quantum computing inc
ai00024,ai product manager,52167,usd,mi,ft,austria,m,ireland,100,"git, hadoop, docker",master,4,telecommunications,2024-06-07,2024-06-24,2298,9.3,cloud ai solutions
ai00025,ml ops engineer,53923,usd,mi,ft,china,s,china,0,"aws, azure, git, sql, computer vision",bachelor,2,healthcare,2024-10-27,2024-11-18,1006,7.4,ai innovations
ai00026,robotics engineer,109779,usd,se,pt,israel,l,israel,100,"linux, git, tableau, kubernetes, data visualization",phd,6,government,2024-08-01,2024-10-02,1146,8.8,datavision ltd
ai00027,ml ops engineer,80979,usd,mi,ct,australia,s,india,50,"hadoop, linux, git, scala",master,2,media,2024-11-18,2025-01-18,2109,7.7,techcorp inc
ai00028,data analyst,52997,usd,mi,pt,austria,m,singapore,0,"mathematics, kubernetes, tensorflow, tableau, pytorch",phd,2,government,2025-01-10,2025-02-20,2101,8.6,predictive systems
ai00029,head of ai,42819,usd,en,ct,ireland,m,ireland,50,"python, scala, nlp, mathematics, git",phd,0,healthcare,2024-10-08,2024-11-20,2187,8.6,cognitive computing
ai00030,ml ops engineer,82083,usd,mi,ct,israel,l,israel,100,"azure, python, computer vision, kubernetes, tensorflow",master,2,retail,2024-01-18,2024-02-25,1212,6.3,future systems
ai00031,head of ai,67488,eur,en,ft,netherlands,m,netherlands,100,"deep learning, gcp, aws, linux, tableau",master,1,retail,2024-05-16,2024-07-26,887,6.0,advanced robotics
ai00032,research scientist,68624,usd,en,ft,denmark,m,denmark,0,"azure, python, spark",master,1,real estate,2024-01-31,2024-03-08,1910,9.2,cloud ai solutions
